Unique ID	Set Unique ID	Edition	Start Card Id	End Card Id	Initial Release Date	Out of Print	Card Database	Product Page	Collector's Center	Card Gallery	Release Notes	Set Logo
KfNpJDJFqpJnzhPRBWqJr	kL8Njk8QtNN7dGchTQqQf	N	AUA001	AUA029	2024-09-20T00:00:00.000Z		https://cards.fabtcg.com/products/rosetta-blitz-deck-aurora/	https://fabtcg.com/products/booster-set/rosetta-blitz-deck-collection/	https://fabtcg.com/en/collectors-centre/rosetta/			
mbwq7RbKjKhzPfr7PTCMg	8Ft6TJJCLmmfnFDnwddMR	N	AUR001	AUR029	2024-08-23T00:00:00.000Z		https://cards.fabtcg.com/products/1st-strike-aurora/	https://fabtcg.com/products/booster-set/1st-strike/			https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/rosetta-1st-strike/	https://dhhim4ltzu1pj.cloudfront.net/media/images/1stk_aurora_logo.original.png
zjqQPB9QdmmthRGQ8KNjB	7DwGmMt7dfMKMwTKFQ6hB	N	AZL001	AZL030	2023-03-24T00:00:00.000Z		https://cards.fabtcg.com/products/azalea-blitz-deck/	https://fabtcg.com/en/products/booster-set/outsiders/outsiders-blitz-decks/	https://fabtcg.com/en/collectors-centre/outsiders/			
tNfDb6TzCPmLhPd7H7qkF	bppTqJLgqJpNMjBcRrcp7	N	BEN001	BEN026	2023-03-24T00:00:00.000Z		https://cards.fabtcg.com/products/benji-blitz-deck/	https://fabtcg.com/en/products/booster-set/outsiders/outsiders-blitz-decks/	https://fabtcg.com/en/collectors-centre/outsiders/			
9qbkzGGLN6KNpgc6rfjmQ	KP7GC9CdJBWjqNjcpbBDN	N	BET001	BET030	2024-02-02T00:00:00.000Z		https://cards.fabtcg.com/products/betsy-heavy-hitters-blitz-deck/	https://fabtcg.com/products/booster-set/heavy-hitters/heavy-hitters-blitz-decks/	https://fabtcg.com/collectors-centre/heavy-hitters/			
n6wkdLnFDWKc8CHmdRWfP	HPKkthwQKdFTDgK6WTQqR	N	BOL001	BOL030	2021-05-07T00:00:00.000Z	Yes	https://fabtcg.com/en/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/boltyn-blitz-deck/		
bWRn6KwrjpdP6wqjtGFGW	h8mR6RdH6nnMFGTdF6ffF	N	BRI001	BRI031	2021-11-24T00:00:00.000Z	Yes		https://fabtcg.com/products/booster-set/tales-aria-blitz-decks/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria/briar-blitz-deck/		
dm7Fg7BbmhtWN7TFPKb6f	6T9cpCjmwNtMRkD6c6pNC	N	BVO001	BVO029	2019-10-11T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/bravo-showstopper-hero-deck/	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/bravo-hero-deck/		
CgFtfkdRwHbdCmKz8kmRC	t8PhhW96tJJTnN7f77C7b	N	CHN001	CHN030	2021-05-07T00:00:00.000Z	Yes	https://fabtcg.com/en/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/chane-blitz-deck/		
ntpBR6gq8FMwbrc7nD8Nz	K8MGfzFdqWGwrcJgpDqRR	F	CRU000	CRU197	2020-08-28T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/crucible-of-war/	https://fabtcg.com/products/booster-set/crucible-war/	https://fabtcg.com/collectors-centre/crucible-of-war/	https://fabtcg.com/resources/card-galleries/crucible-war-booster/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/crucible-war/	https://dhhim4ltzu1pj.cloudfront.net/media/images/cru_logo_stacked.original.png
7bHMKdmh9wJkpqH6Hk7rM	K8MGfzFdqWGwrcJgpDqRR	U	CRU000	CRU197	2021-06-30T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/crucible-of-war-unlimited/	https://fabtcg.com/products/booster-set/crucible-war-unlimited/	https://fabtcg.com/collectors-centre/crucible-of-war/	https://fabtcg.com/resources/card-galleries/crucible-war-unlimited/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/crucible-war/	https://dhhim4ltzu1pj.cloudfront.net/media/images/cru_logo_stacked.original.png
7WJDkL9JR77QmTdfPmt9w	KhcHnWztNdGbLgJbtzbHC	N	DRO001	DRO028	2022-06-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/dromai-blitz-deck/	https://fabtcg.com/products/booster-set/uprising/uprising-blitz-decks/	https://fabtcg.com/collectors-centre/uprising/	https://fabtcg.com/resources/card-galleries/uprising/dromai-blitz-deck/		
TtNrjrtMbCbMW8JqLNNzt	bJBqr7QFQcKcdNMbw9JMB	N	DTD000	DTD235	2023-07-23T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/dusk-till-dawn/	https://fabtcg.com/en/products/booster-set/dusk-till-dawn/	https://fabtcg.com/collectors-centre/dusk-till-dawn/	https://fabtcg.com/en/resources/card-galleries/dusk-till-dawn/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/dusk-till-dawn/	https://dhhim4ltzu1pj.cloudfront.net/media/images/dusk_till_dawn_logo.original.png
