Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Legality Article
nkRtdrQt8BTDbqWJHGMMb	Cd6PTGH6CqTHmt7LQmBMp	Kraken's Aethervein		Yes	2024-10-02T00:00:00.000Z	2024-10-04T00:00:00.000Z	https://fabtcg.com/en/articles/banned-and-restricted-announcement-oct02/
m8hkNgrNcGjgjWJjgjb7F	KLtwtTdQqjdTJNhcQHJhd	Carrion Husk		Yes	2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
h7Ljp7TPcKhGj88KppdLW	Lbp8pFhph9wMqMHDw8JWq	Crown of Seeds		Yes	2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
