Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
fKBf6LRnGJcwPnLTzbTJB	Frailty	AZL029 – N	HmRjQFpmcNFTBrHgRKR7G	Inertia	AZL030 – N	No		
HmRjQFpmcNFTBrHgRKR7G	Inertia	AZL030 – N	KFmzJGL6LWd9Bkqk8MwQj	Bloodrot Pox	AZL028 – N	No		
DmCDWFRjLGcM7qCq9NCJP	Might	BET028 - N	cLgtFfNjBkpmnfTGbtQzd	Gold	BET030 - N	No		
GTmdqK9p99DPzmBBRPKLJ	Vigor	BET029 - N	cLgtFfNjBkpmnfTGbtQzd	Gold	BET030 - N	No		
gchhRHddRfR7jpdc8T9LB	Embodiment of Lightning	BRI002 – N	wgPCprWkFMGJzc8hgKKnK	Embodiment of Earth	BRI003 – N	No		
WKnQ8PDRb9Nh76Tbj6h9c	Soul Shackle	CHN030 – N	WKnQ8PDRb9Nh76Tbj6h9c	Soul Shackle	CHN030 – N	No		
rBTczjHn8hMkhtzHqm6jk	Ash	DRO002 – N	q6R8QkpHGCWPKnQNkP9Nh	Aether Ashwing	DRO003 – N	No		
BJmM7NdkPc7WMzHBmHnMt	Figment of Erudition	DTD005 – N	gr9NnqtnRpHgMLb6gM9Pn	Suraya, Archangel of Erudition	DTD005 – N	Yes		
drWjt6jGkWRmBdCWHWB77	Figment of Erudition	DTD005 – N (CF Marvel)	6kbTW6PDwwRqWPj8kqggc	Suraya, Archangel of Erudition	DTD005 – N (CF Marvel)	Yes		
zqMffjdwTBp9ggMJG7jcC	Figment of Judgment	DTD006 – N	pzmfMdN6MjfHncDCbggnp	Themis, Archangel of Judgment	DTD006 – N	Yes		
7CzGhCJRkmtCBwjkjmKbm	Figment of Judgment	DTD006 – N (CF Marvel)	DfgKP8CcMHPzGFHJWCK7g	Themis, Archangel of Judgment	DTD006 – N (CF Marvel)	Yes		
Lw6CRDPNhwhwcLBrFmpDt	Figment of Protection	DTD007 – N	dWGk7bqNDRBmgrFPnJMCz	Aegis, Archangel of Protection	DTD007 – N	Yes		
8rGFDkPJTDHQgcK6wCn9t	Figment of Protection	DTD007 – N (CF Marvel)	TpcGqN7Q9h89J768r6qbm	Aegis, Archangel of Protection	DTD007 – N (CF Marvel)	Yes		
cmrPrJfT8ftbLD8WqWRHj	Figment of Ravages	DTD008 – N	KqP9w9tTQGgTrRCqNGnmN	Sekem, Archangel of Ravages	DTD008 – N	Yes		
