Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variation	Artist	Flavor Text	Image URL	TCGPlayer ID
6RhqmkWDRpdRmrrTTdj6w	pBpLPQ7kg6mkBpNMMPdCD	Corazón de Fyendal	3	1HP000	dWtbGKG8Rb9dPrCLBr6nj	1HP	N	F	R		Adolfo Navarro		https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/SP/SP_1HP000_1.png	
d7tFLfJQkTJbzbD8PrnBR	N77hdGp96fNQnzc79hqN9	Ojo de Ofidia	3	1HP000	dWtbGKG8Rb9dPrCLBr6nj	1HP	N	F	R		Alexandra Malygina		https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/SP/SP_1HP000_2.png	
p6bPbDJwq6fFFNGfzrjKP	pkMGCRh9fDT98dRgnQF8W	Fragmento del archicaballero	3	1HP000	dWtbGKG8Rb9dPrCLBr6nj	1HP	N	F	R		Maxim Kostin		https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/SP/SP_1HP000_3.png	
