Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variation	Artist	Flavor Text	Image URL	TCGPlayer ID
fWrG7GN6Wh9GkNBjWdkkh	pBpLPQ7kg6mkBpNMMPdCD	Herz von Fyendal	3	1HP000	TJn6DFWGBDfHJMntFCcmR	1HP	N	F	R		Adolfo Navarro		https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/DE/DE_1HP000_1.png	
zrDP7JGF6hnMLhTrpHRhK	N77hdGp96fNQnzc79hqN9	Auge von Ophidia	3	1HP000	TJn6DFWGBDfHJMntFCcmR	1HP	N	F	R		Alexandra Malygina		https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/DE/DE_1HP000_2.png	
BLNk76c8brjQGFJGdT9Km	pkMGCRh9fDT98dRgnQF8W	Scherbe der Erznacht	3	1HP000	TJn6DFWGBDfHJMntFCcmR	1HP	N	F	R		Maxim Kostin		https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/DE/DE_1HP000_3.png	
