Unique ID	Set Unique ID	Edition	Start Card Id	End Card Id	Initial Release Date	Out of Print Date	Product Page	Collector's Center	Card Gallery
TJn6DFWGBDfHJMntFCcmR	DGq7jN9CfcpnDRQFMTHhB	N	1HP000	1HP427	2022-06-01T00:00:00.000Z	null	https://fabtcg.com/products/booster-set/history-pack-1-black-label/	https://fabtcg.com/collectors-centre/history-pack-1/	https://fabtcg.com/resources/card-galleries/history-pack-1-black-label-de-fr-sp-it/history-pack-1-black-label-german/
BmJqGfjkkFHdzHWTkfzpz	qRBNhJMCjcgWMMwGpbqMm	N	2HP000	2HP533	2023-02-24T00:00:00.000Z	null	https://fabtcg.com/articles/history-pack-2/	https://fabtcg.com/collectors-centre/history-pack-2/	null
